Ano de eleição,Município,Partido,Código município,Nome candidato,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2022,CANELA,PSDB,85855,NADINE TAGLIARI FARIAS ANFLOR,Eleito,509,NADINE TAGLIARI FARIAS ANFLOR,CANELA
2022,FONTOURA XAVIER,PSDB,86630,NADINE TAGLIARI FARIAS ANFLOR,Eleito,18,NADINE TAGLIARI FARIAS ANFLOR,FONTOURA XAVIER
2022,ALVORADA,PSDB,85111,PEDRO OZORIO PEREIRA,Eleito,7,PEDRO OZORIO PEREIRA,ALVORADA
2022,PAIM FILHO,PSDB,87750,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,PAIM FILHO
2022,RIO DOS ÍNDIOS,PSDB,87548,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,RIO DOS INDIOS
2022,MAXIMILIANO DE ALMEIDA,PSDB,87459,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,MAXIMILIANO DE ALMEIDA
2022,PINHEIRINHO DO VALE,PP,87408,GUILHERME RECH PASIN,Eleito,0,GUILHERME RECH PASIN,PINHEIRINHO DO VALE
2022,PICADA CAFÉ,PP,87360,GUILHERME RECH PASIN,Eleito,2,GUILHERME RECH PASIN,PICADA CAFE
2022,IMIGRANTE,PP,85782,GUILHERME RECH PASIN,Eleito,22,GUILHERME RECH PASIN,IMIGRANTE
2022,OSÓRIO,PP,87734,GUILHERME RECH PASIN,Eleito,29,GUILHERME RECH PASIN,OSORIO
2022,SANTA MARIA,PSB,88412,ELTON ROBERTO WEBER,Eleito,53,ELTON ROBERTO WEBER,SANTA MARIA
2022,JABOTICABA,PSB,84786,ELTON ROBERTO WEBER,Eleito,1,ELTON ROBERTO WEBER,JABOTICABA
2022,VILA MARIA,PSB,85642,ELTON ROBERTO WEBER,Eleito,31,ELTON ROBERTO WEBER,VILA MARIA
2022,ARROIO DO MEIO,PODE,85197,JOSE AIRTON RIBEIRO DE LIMA,Suplente,74,AIRTON LIMA,ARROIO DO MEIO
2022,BOQUEIRÃO DO LEÃO,MDB,84921,GILBERTO CAPOANI,Suplente,0,GILBERTO CAPOANI,BOQUEIRAO DO LEAO
